match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,year,month,day,team1_top4_avg,team2_top4_avg,team1_top4_bats,team2_top4_bats,team1_top4_eco,team2_top4_eco,team1_bot4_eco,team2_bot4_eco,team1_top2_wck,team2_top2_wck,team1_avg_top4_ag,team2_avg_top4_ag,team1_eco_bot4_ag,team2_eco_bot4_ag,team1_eco_top4_ag,team2_eco_top4_ag,team1_wck_top2_ag,team2_wck_top2_ag,team1_avg_top4_ve,team2_avg_top4_ve,team1_eco_top4_ve,team2_eco_top4_ve,team1_eco_bot4_ve,team2_eco_bot4_ve,team1_wck_top2_ve,team2_wck_top2_ve,team1_count_rel_bats,team2_count_rel_bats,team1_count_rel_bowl,team2_count_rel_bowl,team1_avg_top4_in,team2_avg_top4_in,team1_eco_top4_in,team2_eco_top4_in,team1_eco_bot4_in,team2_eco_bot4_in,team1_wck_top2_in,team2_wck_top2_in,team1_count_bat_form,team2_count_bat_form,team1_last5_avg,team2_last5_avg,team1_last5_eco_top,team2_last5_eco_top,team1_last5_eco_bot,team2_last5_eco_bot,team1_count_bowl_form,team2_count_bowl_form,team_ratio_avg,team_ratio_bats,team_ratio_eco_top,team_ratio_eco_bot,team_ratio_wck,team_ratio_avg_ag,team_ratio_avg_ve,team_ratio_avg_in,team_ratio_eco_top_ag,team_ratio_eco_top_ve,team_ratio_eco_top_in,team_ratio_eco_bot_ag,team_ratio_eco_bot_ve,team_ratio_eco_bot_in,team_ratio_wck_top_ag,team_ratio_wck_top_ve,team_ratio_wck_top_in,team_ratio_rel_bats,team_ratio_rel_bowl,team_ratio_bat_form,team_ratio_bowl_form,team_ratio_last5_avg,team_ratio_last5_eco_top,team_ratio_last5_eco_bot
9331181,6,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,43,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,1,12634,44,1,44,55,2022-10-20,1,58,2,7398,1.6666666666666667,0.6721311475409836,139.0,100.0,157.17857142857142,2022,10,20,20.375,17.625,122.72444444444444,142.0175,6.573333333333332,6.1875,7.51625,6.1875,1.0833333333333335,1.5,15.75,32.5,6.835,7.375,6.835,7.375,1.0,2.0,13.416666666666668,19.25,6.2212499999999995,6.041666666666666,7.129583333333334,6.041666666666666,1.0,1.5,2,1,3,2,15.541666666666666,23.75,6.992916666666667,5.1875,8.074583333333333,5.1875,1.4166666666666665,1.25,2,1,40.5,10.0,6.355,6.625,8.1675,6.625,2,1,2.75,-19.29305555555557,0.38583333333333236,1.3287500000000003,-0.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,30.5,-0.2699999999999996,1.5425000000000004
8797060,35,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,138,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,0,20,138,1,53,13,2022-01-23,1,22,0,1406,1.2857142857142858,1.9523809523809523,156.0,50.0,103.5,2022,1,23,21.375,24.172889610389607,105.96104166666666,106.38369994588746,7.90043956043956,7.963848684210526,8.972225274725275,10.253660714285715,1.2170329670329672,1.4642857142857144,26.975,29.898809523809522,8.788333333333334,8.993446428571428,7.095178571428572,6.485446428571429,1.3857142857142857,1.8,27.0,28.925,7.1,6.437875,8.864583333333334,8.857875,1.325,1.9000000000000001,3,3,1,1,20.714102564102564,24.40909090909091,7.814130952380952,7.413689393939394,9.110738095238094,8.97642857142857,1.3444444444444446,1.707142857142857,3,4,27.75,39.25,5.98,4.8125,8.6875,9.375,4,4,-2.797889610389607,-0.4226582792207978,-0.06340912377096597,-1.2814354395604397,-0.24725274725274726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0,-11.5,1.1675000000000004,-0.6875
9433269,135,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,81,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,0,10576,81,1,111,83,2023-06-02,1,79,3,251,0.8571428571428571,0.6721311475409836,173.26666666666668,0.0,154.33333333333334,2023,6,2,26.27017543859649,21.47361111111111,131.56514254385965,112.70189583333334,8.288253663003664,7.779446078431372,9.835240505108928,10.494833333333332,1.2771929824561403,1.24375,28.46666666666667,24.375,10.251833333333334,13.94375,8.364166666666668,8.67375,1.7000000000000002,1.25,48.0,26.43888888888889,6.8125,7.727187499999999,10.0825,10.26,4.0,1.2916666666666665,4,3,1,0,25.57986111111111,24.71590909090909,7.797500000000001,7.942181818181819,9.49788888888889,10.084640151515151,1.5277777777777777,1.2555555555555555,2,5,26.5,48.5,7.9575,6.960000000000001,11.145,10.645,1,2,4.7965643274853775,18.86324671052631,0.5088075845722919,-0.6595928282244046,0.03344298245614041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-3,-1,-22.0,0.9974999999999987,0.5
9587073,39,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,13,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,0,36084,34,0,10,105,2023-09-10,0,18,3,14300,2.1666666666666665,1.975609756097561,164.26666666666668,50.0,144.25,2023,9,10,28.88768315018315,20.958333333333332,142.29846703296704,112.43941666666666,5.78325,7.528416666666667,8.905714285714286,10.22546978021978,1.2976190476190477,2.0833333333333335,30.0,34.66666666666667,9.180833333333334,11.51,7.139166666666668,6.73625,1.75,3.0,35.125,33.0,7.46875,6.59375,10.0,11.66625,2.0,3.0,4,3,3,1,28.32857142857143,21.4875,5.243714285714286,8.040642857142858,8.884434523809524,10.364027777777778,1.657142857142857,2.25,1,1,26.75,20.5,6.5,6.2925,10.6475,10.645,2,3,7.929349816849818,29.85905036630038,-1.745166666666667,-1.319755494505495,-0.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,-1,6.25,0.20749999999999957,0.002500000000001279
9516457,96,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,38,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,1,48341,40,1,75,25,2023-04-13,2,35,3,7118,0.8181818181818182,1.3278688524590163,164.66666666666666,0.0,189.0,2023,4,13,24.12173202614379,33.1323051948052,132.726766748366,120.99707115800865,7.91191742081448,8.057251893939394,9.60975122100122,8.688397727272728,1.2153846153846155,1.6174242424242424,26.25,33.25,8.3125,7.5,6.88,7.5,1.0,1.5,26.125,33.25,7.850208333333333,7.5,11.104375000000001,7.5,1.5,1.5,4,5,1,0,27.7004662004662,30.354166666666668,7.743608058608059,8.14875,9.614935897435897,9.728005952380952,1.282051282051282,1.4583333333333333,1,2,20.75,25.0,6.1875,5.6875,7.5625,7.75,4,3,-9.01057316866141,11.729695590357352,-0.14533447312491443,0.9213534937284926,-0.4020396270396269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,-4.25,0.5,-0.1875
9457412,59,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,17,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,1,40424,18,1,90,37,2023-01-09,2,12,2,14188,1.0,1.0,158.44444444444446,50.0,147.93333333333334,2023,1,9,22.11904761904762,25.141071428571426,114.5992261904762,107.232125,7.6759375,8.139964110644257,8.2215625,9.410931372549019,1.25,1.8214285714285714,29.75,34.6875,8.752500000000001,10.6475,8.033750000000001,7.73,1.5,1.5,27.5,29.27916666666667,6.732916666666667,6.881458333333333,7.4825,9.250208333333333,1.125,1.75,2,5,1,0,30.25,37.8125,7.304791666666667,7.676666666666666,8.010416666666666,9.548749999999998,0.7083333333333333,2.0833333333333335,2,2,27.5,32.75,6.0,6.23,8.375,8.125,1,3,-3.0220238095238052,7.367101190476205,-0.46402661064425743,-1.1893688725490197,-0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,1,0,-2,-5.25,-0.23000000000000043,0.25
9292548,0,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,45,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,1,55,46,1,86,54,2022-09-25,2,1,1,13880,0.7,1.4878048780487805,141.4,50.0,0.0,2022,9,25,26.04597902097902,32.45338760504201,128.1500917832168,123.5229630602241,8.48055681818182,7.661663043478261,8.873386363636364,11.126439498504716,1.2272727272727273,1.2119565217391304,34.74583333333334,30.208333333333336,12.367916666666668,11.862499999999999,10.487708333333334,9.449583333333333,1.0,1.3333333333333333,39.5,43.5,8.32,7.605,10.5,10.6875,1.5,2.0,5,5,0,2,29.77916666666667,29.258333333333333,8.36875,8.490673611111111,10.06,9.596611111111113,1.25,1.4166666666666667,3,2,49.25,27.5,5.4575,5.8125,8.0,10.0625,5,6,-6.407408584062992,4.627128722992694,0.8188937747035583,-2.2530531348683525,0.015316205533596916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,1,-1,21.75,-0.3550000000000004,-2.0625
9271758,54,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,34,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,0,47501,49,0,82,33,2022-12-18,0,36,2,7041,0.9090909090909092,1.4878048780487805,156.15384615384616,40.0,129.93333333333334,2022,12,18,25.829807692307693,28.267857142857142,118.93531250000001,125.44065476190477,6.1081666666666665,6.902678571428572,7.820378787878789,8.762678571428571,1.8333333333333335,1.6904761904761905,31.125,25.75,6.90625,8.36625,5.74,7.20875,2.5,2.25,24.65625,21.5,6.065267857142857,7.60375,9.009559523809523,9.135,2.0,1.75,3,5,4,3,29.083333333333332,22.0,5.804642857142857,7.493333333333333,7.752535714285714,8.3675,2.1666666666666665,1.8333333333333335,4,1,47.0,20.5,6.085,5.6825,14.1875,16.4575,3,2,-2.4380494505494497,-6.505342261904758,-0.7945119047619054,-0.9422997835497826,0.14285714285714302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,1,3,1,26.5,0.40249999999999986,-2.2699999999999996
9331048,49,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,106,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,0,12634,106,1,44,55,2022-10-18,1,58,2,7398,0.2727272727272727,0.5061728395061729,138.5,0.0,157.69230769230768,2022,10,18,17.625,24.166666666666664,142.0175,126.27291666666667,6.1875,7.714285714285714,6.1875,7.714285714285714,1.5,1.119047619047619,11.0,22.5,7.75,6.75,7.75,6.75,2.0,1.0,19.25,18.666666666666668,6.041666666666666,8.124166666666666,6.041666666666666,8.124166666666666,1.5,0.8333333333333334,1,3,2,1,11.5,21.020833333333336,7.1875,7.3325,7.1875,7.3325,1.75,1.125,1,0,10.0,12.25,6.625,9.375,6.625,9.375,1,0,-6.541666666666664,15.744583333333338,-1.5267857142857144,-1.5267857142857144,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,1,1,1,-2.25,-2.75,-2.75
9123162,52,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,45,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,1,55,46,1,108,41,2022-06-26,0,25,1,6831,0.3478260869565217,0.5061728395061729,154.26666666666668,0.0,148.5,2022,6,26,20.88259259259259,33.914250700280114,114.2175375,132.66673389355742,7.555740763546798,6.979413043478261,9.726111111111113,11.992657407407407,1.5504926108374384,1.225,30.166666666666664,41.625,12.604583333333334,10.73,10.062916666666666,8.02125,1.5,1.0,31.625,29.0,10.1775,8.02125,12.615,10.73,1.75,1.0,3,4,1,2,22.54375,28.416666666666668,6.530125,7.0878958333333335,9.475874999999998,10.875944444444444,1.75,1.3333333333333335,3,4,42.25,41.5,6.1875,5.5675,11.1675,10.8125,3,5,-13.031658107687523,-18.449196393557415,0.5763277200685373,-2.266546296296294,0.3254926108374383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-2,0.75,0.6200000000000001,0.3550000000000004
